Chapter,Character,N,A,I,C,DC,DN,Score
38,Longbourn,0,0,0,0,0,1,1
38,Mr.,0,0,0,0,0,1,1
38,Mr. Darcy,0,0,0,0,0,1,1
38,Mr. Gardiner,0,0,0,0,0,1,1
38,Mrs. Gardiner,0,0,0,0,0,1,1
39,Lydia,11,3,17,12,0,11,54
39,Elizabeth,10,0,3,5,2,8,28
39,Mary,5,2,2,1,3,2,15
39,Jane,5,0,2,1,1,4,13
39,Kitty,7,0,1,0,2,3,13
39,Lady Lucas,1,3,5,2,0,1,12
39,Wickham,6,1,0,0,2,2,11
39,the Lucases,2,1,1,0,0,2,6
39,Mrs. Bennet,2,0,1,0,0,2,5
39,Mrs. Forster,4,0,0,0,1,0,5
39,Maria,2,0,0,0,0,2,4
39,Mr. Bennet,2,0,0,0,0,2,4
39,Chamberlayne,1,0,1,0,1,0,3
39,"Elizabeth,----",1,0,0,0,0,1,2
39,Pen,1,0,0,0,1,0,2
39,the Miss Bennets,1,0,0,0,0,1,2
39,Colonel,0,0,0,0,1,0,1
39,Denny,0,0,0,0,1,0,1
39,Harriet,0,0,0,0,1,0,1
39,Lord,0,0,0,0,1,0,1
39,Lord,0,0,0,0,1,0,1
39,Lord,0,0,0,0,1,0,1
39,Mamma,0,0,0,0,1,0,1
39,Mr. Collins,0,0,0,0,1,0,1
39,Philips,0,0,0,0,1,0,1
39,Pratt,0,0,0,0,1,0,1
40,Elizabeth,10,1,19,27,2,6,65
40,Jane,9,0,4,0,2,6,21
40,Mr. Darcy,10,0,1,0,5,4,20
40,Wickham,4,0,0,0,4,0,8
40,Mrs. Bennet,1,0,2,3,0,1,7
40,Miss Bennet,2,0,0,2,0,2,6
40,Wickham,3,0,0,0,2,1,6
40,Bingley,2,0,0,0,1,1,4
40,Charlotte,1,0,0,0,1,0,2
40,Longbourn,0,0,0,0,1,0,1
40,Philips,0,0,0,0,1,0,1
