character,degree,betweenness,closeness,eigenvector,pagerank,frequency
W. H. VAN ORDEN . Cloth,2,5.3867700926524454e-05,0.008241758241758242,1.942390212415966e-15,0.004738122678960283,2
Fortune,2,0.0,0.26397289187986867,0.028031030794678214,0.0007660010715194346,1
"pieces,--whoever",2,0.0,0.26397289187986867,0.028031030794678214,0.0007660010715194346,1
the Prince,2,0.0,0.21689492390129333,0.022962360490878266,0.0007427006592258631,4
H. C. FAULKNER,2,5.3867700926524454e-05,0.008241758241758242,1.942390212415966e-15,0.004738122678960283,2
Nellie,2,0.0008618832148243913,0.022933588150979456,4.584920733287955e-13,0.0037239456690794323,2
Heaven,2,0.0,0.2667297889230004,0.036535431975931724,0.0010661696149082962,4
Pallas,2,0.0,0.26465675947541234,0.02424466899460795,0.0010021291250338466,1
Saint Charity,2,0.0,0.26397289187986867,0.023838783649401292,0.001137645540049303,1
Saint Valentine,2,0.0,0.26397289187986867,0.023838783649401292,0.001137645540049303,1
the Baroness von C----,2,0.0,0.2667297889230004,0.036535431975931724,0.0007534569161883103,1
Child,2,0.0,0.2192221226555991,0.027271596820502862,0.0007458113436895396,1
Mamsell,2,0.0,0.26397289187986867,0.026765820568274323,0.0008268915839827061,2
The Hercules,2,0.0,0.18988384601767502,0.007324228358362954,0.0007999674399665263,1
Merle,2,0.0002962723550958845,0.01818870784388026,4.0643610916417674e-13,0.003999693455190407,2
Clip,2,0.0,0.22402962534541482,0.02662004696249041,0.0007504073574607928,1
Old Truepenny,2,0.0,0.2667297889230004,0.032339359742285106,0.0007663271105571835,1
The _ Actuarius _,2,0.0,0.26397289187986867,0.023838783649401292,0.001137645540049303,2
The old _ Amtmann _ hereupon,2,0.0,0.26397289187986867,0.023838783649401292,0.001137645540049303,16
Harold.= By Bulwer - Lytton,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,2
Handy Andy.= By Samuel Lover,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,2
JOE,1,0.0,0.14635746297637417,7.737217232110403e-05,0.0015370273837642901,1
Goethe ( Carlyle,1,0.0,0.2632925493750236,0.02253076139725388,0.000654146293480581,1
Widow Lerouge,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Emile Gaborlau,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Vivian Grey.=,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Benjamin Disraeli,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Rienzi.=,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Old Ma'm'selle,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Rory O'More.=,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Tom Brown,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,2
Queenie,1,0.0,0.017015242821694435,3.5204177010752485e-13,0.0020903902031400123,1
