novel,graph_type,n_nodes,n_edges,density,degree_mean,degree_std,degree_max,degree_gini,degree_centralization,assortativity,clustering_avg,transitivity,avg_path_length,n_components,largest_component_frac,delta_max,delta_mean,delta_median,small_world_sigma,powerlaw_alpha,powerlaw_xmin
Old_Mortality,dialogue,130,246,0.02933810375670841,3.7846153846153845,5.321920728147535,38,0.48877423389618513,0.2693798449612403,-0.1586060538367026,0.3391021619860629,0.22209026128266032,7.137984496124031,1,1.0,1.0,0.0855,0.0,1.2296095141163617,1.9542678090262895,1.0
Oliver_Twist,cooccurrence,180,553,0.034326505276225945,6.144444444444445,10.402522248753062,87,0.665230058268033,0.4567823739878225,-0.2900727057494549,0.49607771228411746,0.34591544818817543,2.550825593395253,27,0.85,0.5,0.1,0.0,4.002646365729383,1.743996723454975,1.0
Oliver_Twist,dialogue,42,133,0.15447154471544716,6.333333333333333,4.99364675728149,25,0.4047619047619049,0.47804878048780486,-0.2423252500642809,0.6101818287532573,0.36739659367396593,2.1846689895470384,1,1.0,1.0,0.19,0.0,2.7483171711807373,1.3089681232308665,1.0
Our_Mutual_Friend,cooccurrence,558,2135,0.013738473517242267,7.652329749103942,14.752227944934088,183,0.6393392259071793,0.3159397078387559,-0.24029186858660045,0.644735072391486,0.20385472697908463,2.856621401412276,33,0.942652329749104,1.0,0.1635,0.0,4.962039921006616,1.9923789790140671,1.0
Our_Mutual_Friend,dialogue,103,271,0.051589567865981345,5.262135922330097,5.825889931683249,34,0.5130226059542149,0.28732284993205204,-0.1968066035898166,0.4211941785681278,0.2490527040992077,2.8172472872644203,1,1.0,1.0,0.177,0.0,3.355404687810645,1.957396632592377,1.0
Paul_Clifford,cooccurrence,576,1733,0.010464975845410628,6.017361111111111,13.562472887126566,173,0.6407432118356093,0.29141645205271927,-0.2753082283537659,0.596047274102581,0.17069888114155993,2.7711103126122887,79,0.8402777777777778,1.0,0.133,0.0,6.378139342749162,2.060803085182004,1.0
Paul_Clifford,dialogue,80,163,0.051582278481012656,4.075,5.144839647646951,27,0.5034509202453987,0.2976306394027913,-0.23884660248015965,0.3492831887897677,0.21153846153846154,3.1319620253164557,1,1.0,1.0,0.139,0.0,2.536860267250745,1.9030945253444203,1.0
Pendennis,cooccurrence,1501,8495,0.007546080390850544,11.319120586275815,31.74307817700338,755,0.5880036028560909,0.496448743606849,-0.20673862414964342,0.7928283618244923,0.09407594900708867,2.5751244728811598,34,0.9753497668221186,1.0,0.14,0.0,6.083281688166442,1.873428284834229,1.0
Pendennis,dialogue,169,421,0.029656241194702733,4.982248520710059,8.484914125977923,82,0.5504504631126228,0.4639292842885657,-0.26359706159894264,0.4427122736067911,0.15695876288659794,2.763454494223725,1,1.0,1.0,0.106,0.0,3.10664575237307,1.880406774986142,1.0
Persuasion,cooccurrence,131,723,0.08490898414562537,11.038167938931299,14.425594609916748,101,0.5720017315468839,0.7027429934406678,-0.32779350671764773,0.7772780770536875,0.38792608196093453,2.1187301587301586,6,0.9618320610687023,0.5,0.0895,0.0,3.2608258568825197,1.4565907736217971,1.0
Persuasion,dialogue,27,76,0.21652421652421652,5.62962962962963,4.431772057149317,18,0.41179337231968827,0.5138461538461538,-0.3462589230633659,0.6158925073957754,0.42301458670988656,2.0,1,1.0,1.0,0.1615,0.0,2.8011281098783116,1.1971389263589913,1.0
Phoebe_Junior,cooccurrence,220,1035,0.04296388542963885,9.409090909090908,16.074143808413368,129,0.6177733860342556,0.5510870931255498,-0.37199451555502067,0.7366690425044219,0.24654545454545454,2.2722667792317433,12,0.9409090909090909,0.5,0.142,0.0,3.695351768324636,1.6821249435014358,1.0
Phoebe_Junior,dialogue,35,96,0.16134453781512606,5.485714285714286,5.341863926016988,24,0.4892857142857143,0.5775401069518716,-0.4165091367359797,0.515993026175708,0.3967741935483871,2.1142857142857143,1,1.0,1.0,0.128,0.0,2.5514087122318547,1.6854552187076814,1.0
