novel,metric,k,gender,base_share,topk_share,rep_ratio,diff
Melmoth_the_Wanderer3,out_strength,10,F,0.375,0.3,0.7999999999999999,-0.07500000000000001
Melmoth_the_Wanderer4,out_strength,10,M,0.6896551724137931,0.5,0.725,-0.18965517241379315
Melmoth_the_Wanderer4,out_strength,10,F,0.3103448275862069,0.5,1.6111111111111112,0.1896551724137931
Middlemarch,out_strength,10,M,0.632,0.6,0.9493670886075949,-0.03200000000000003
Middlemarch,out_strength,10,F,0.368,0.4,1.0869565217391306,0.03200000000000003
Miss_Marjoribanks,out_strength,10,M,0.5434782608695652,0.3,0.552,-0.2434782608695652
Miss_Marjoribanks,out_strength,10,F,0.45652173913043476,0.7,1.5333333333333332,0.2434782608695652
Mr._Midshipman_Easy,out_strength,10,M,0.8214285714285714,0.9,1.0956521739130436,0.07857142857142863
Mr._Midshipman_Easy,out_strength,10,F,0.17857142857142858,0.1,0.56,-0.07857142857142857
New_Grub_Street,out_strength,10,M,0.6481481481481481,0.5,0.7714285714285715,-0.14814814814814814
New_Grub_Street,out_strength,10,F,0.35185185185185186,0.5,1.4210526315789473,0.14814814814814814
North_and_South,out_strength,10,M,0.546875,0.5,0.9142857142857143,-0.046875
North_and_South,out_strength,10,F,0.453125,0.5,1.103448275862069,0.046875
Old_Mortality,out_strength,10,M,0.7922077922077922,0.6,0.7573770491803278,-0.19220779220779227
Old_Mortality,out_strength,10,F,0.2077922077922078,0.4,1.925,0.19220779220779222
Oliver_Twist,out_strength,10,M,0.7560975609756098,0.8,1.0580645161290323,0.04390243902439028
Oliver_Twist,out_strength,10,F,0.24390243902439024,0.2,0.8200000000000001,-0.04390243902439023
Our_Mutual_Friend,out_strength,10,M,0.6559139784946236,0.6,0.9147540983606557,-0.05591397849462365
Our_Mutual_Friend,out_strength,10,F,0.34408602150537637,0.4,1.1624999999999999,0.05591397849462365
Paul_Clifford,out_strength,10,M,0.8,0.8,1.0,0.0
Paul_Clifford,out_strength,10,F,0.2,0.2,1.0,0.0
Pendennis,out_strength,10,M,0.6528497409326425,0.8,1.2253968253968255,0.14715025906735757
Pendennis,out_strength,10,F,0.3471502590673575,0.2,0.5761194029850747,-0.14715025906735751
Persuasion,out_strength,10,M,0.4117647058823529,0.4,0.9714285714285715,-0.0117647058823529
Persuasion,out_strength,10,F,0.5882352941176471,0.6,1.02,0.0117647058823529
Phoebe_Junior,out_strength,10,M,0.5227272727272727,0.4,0.7652173913043478,-0.12272727272727268
Phoebe_Junior,out_strength,10,F,0.4772727272727273,0.6,1.2571428571428571,0.12272727272727268
Pride_and_Prejudice,out_strength,10,M,0.391304347826087,0.3,0.7666666666666666,-0.09130434782608698
Pride_and_Prejudice,out_strength,10,F,0.6086956521739131,0.7,1.15,0.09130434782608687
Romola,out_strength,10,M,0.8214285714285714,0.8,0.9739130434782609,-0.021428571428571352
Romola,out_strength,10,F,0.17857142857142858,0.2,1.12,0.021428571428571436
Rookwood,out_strength,10,M,0.7884615384615384,0.7,0.8878048780487805,-0.08846153846153848
Rookwood,out_strength,10,F,0.21153846153846154,0.3,1.4181818181818182,0.08846153846153845
Ruth,out_strength,10,M,0.5531914893617021,0.4,0.7230769230769231,-0.15319148936170213
Ruth,out_strength,10,F,0.44680851063829785,0.6,1.342857142857143,0.15319148936170213
Sense_and_Sensibility,out_strength,10,M,0.4,0.4,1.0,0.0
Sense_and_Sensibility,out_strength,10,F,0.6,0.6,1.0,0.0
Shirley,out_strength,10,M,0.5568181818181818,0.5,0.8979591836734695,-0.05681818181818177
Shirley,out_strength,10,F,0.4431818181818182,0.5,1.1282051282051282,0.05681818181818182
Sybil,out_strength,10,M,0.7407407407407407,0.5,0.675,-0.2407407407407407
Sybil,out_strength,10,F,0.25925925925925924,0.5,1.9285714285714286,0.24074074074074076
Tess_of_the_d'Urbervilles,out_strength,10,M,0.5,0.4,0.8,-0.09999999999999998
Tess_of_the_d'Urbervilles,out_strength,10,F,0.5,0.6,1.2,0.09999999999999998
The_Heart_of_Midlothian1,out_strength,10,M,0.7021276595744681,0.7,0.9969696969696968,-0.0021276595744681437
The_Heart_of_Midlothian1,out_strength,10,F,0.2978723404255319,0.3,1.0071428571428571,0.002127659574468088
The_Heart_of_Midlothian2,out_strength,10,M,0.691358024691358,0.6,0.8678571428571429,-0.09135802469135801
The_Heart_of_Midlothian2,out_strength,10,F,0.30864197530864196,0.4,1.296,0.09135802469135806
The_Heir_of_Redclyffe,out_strength,10,M,0.6235294117647059,0.3,0.4811320754716981,-0.3235294117647059
The_Heir_of_Redclyffe,out_strength,10,F,0.3764705882352941,0.7,1.859375,0.32352941176470584
The_Invisible_Man,out_strength,10,M,0.8823529411764706,0.9,1.02,0.01764705882352946
