character,radius,mentions,degree_centrality,eigenvector,pagerank
Hollands,0.8978312048885129,2,0.004329004329004329,0.0035167958106276003,0.000616294720693407
George the Second,0.8723924093081616,1,0.004329004329004329,0.0074792331852298125,0.0006055910397768159
Lord Hardwicke,0.7786407018683299,3,0.006493506493506494,0.007730680351874992,0.0008209680944065439
Pulteney,0.899604870117653,1,0.004329004329004329,0.003943265386403766,0.0006412633988598094
St. Germains,0.9046069705050781,1,0.004329004329004329,0.003235625939683042,0.0006911977515090637
Horace Walpole,0.8928784966572454,3,0.004329004329004329,0.0029841244705513027,0.0007442160922157656
Lorne,0.7317522062213587,1,0.008658008658008658,0.016296204216416452,0.0009284245044180678
Monk,0.7428995587127794,1,0.008658008658008658,0.01629620421641645,0.0009284245044180678
Carspharn John,0.9500377366471414,1,0.006493506493506494,0.0034068081896968454,0.0008750131816973659
John Semple,0.9331920725328299,3,0.012987012987012988,0.006956345663998317,0.0016484569070944711
Rev. Dr. Carlyle,0.9509345565256541,11,0.025974025974025976,0.010739767294593616,0.0026796267349153084
John Welwood,0.9233092852057679,1,0.008658008658008658,0.006362965718795043,0.0010307911132518147
Maries,0.7261184708564334,1,0.008658008658008658,0.013478944015755273,0.0009884049631591078
Francis Hislop,0.9358543460671047,2,0.006493506493506494,0.003884069536504809,0.0008648849748270201
James Wilson,0.8957937268182448,9,0.032467532467532464,0.022167728823120344,0.0035463749544621566
Robert Neilson,0.9631094233081987,3,0.017316017316017316,0.006429353082645172,0.001905762221231293
the Lord,0.9020440246926624,1,0.0021645021645021645,0.0026320448870205885,0.00048492726305217766
Airly,0.9524118808461632,1,0.008658008658008658,0.004794094706701484,0.001054737754259571
Meldrum,0.952918136050071,1,0.008658008658008658,0.004794094706701484,0.001054737754259571
William Caigow,0.925821522235747,2,0.021645021645021644,0.017599671214977543,0.002418486398514899
Robert Muir,0.9184027870613966,4,0.017316017316017316,0.01719749336528933,0.0016327319958583334
Williarn Caigow,0.9110995525848646,1,0.017316017316017316,0.017197493365289338,0.0016327319958583334
Wodrow,0.9230687482705305,3,0.030303030303030304,0.020654222822678633,0.0028382642246775587
Cromwell,0.9629186915056879,2,0.008658008658008658,0.01010522580401177,0.0011043920259467886
Raeburn,0.990581005934538,42,0.04112554112554113,0.015263735594471084,0.005760493384505113
Sir William Lockhart of Lee,0.9634326345001649,1,0.008658008658008658,0.010105225804011768,0.0011043920259467886
Swinton,0.9781423489645673,20,0.02813852813852814,0.013928178036975589,0.0033453632637297018
John Crawford,0.9844462465394109,42,0.015151515151515152,0.001156475014522986,0.0027851245383717664
Captain Porteus,0.9922511853104621,14,0.04112554112554113,0.0002841049048704161,0.007245453364364026
Sollicitor,0.991753176535597,10,0.023809523809523808,0.0003791353765266688,0.004104027355523944
King,0.9881223196537194,4,0.017316017316017316,0.0031396562958602475,0.003247366623723706
Lindsay,0.9911085253199464,1,0.006493506493506494,0.00019670327429228285,0.0014069261219422655
Sandie the Turk,0.9915485868335567,1,0.006493506493506494,0.0001967032742922887,0.0014069261219422655
Generall Wade,0.9863774178147463,1,0.0021645021645021645,5.06322718334192e-05,0.0006625022495945452
Domino Willielmo Scott de Harden Militi,0.9945847455473658,1,0.004329004329004329,0.0009195814542754281,0.0007265121750893045
William,0.9933972015266768,11,0.02813852813852814,0.005740120981173099,0.004197150457095445
